mark,model,generation_name,year,mileage,vol_engine,fuel,city,province,price
ford,focus,gen-mk2-2004-2011,2009,241908,1999,LPG,Wieliczka,Małopolskie,16500
kia,sportage,gen-iv-2016-sportage,2021,7,1598,Gasoline,Tarnów,Małopolskie,112800
bmw,x2,,2018,88456,1995,Diesel,Stara Kamienica,Dolnośląskie,149937
ford,focus,gen-mk3-2010,2011,182000,1596,Gasoline,Ruda Śląska,Śląskie,24800
kia,venga,,2014,20090,1396,Gasoline,Bieruń,Śląskie,42900
volvo,xc-90,gen-ii-2014-xc-90,2015,182300,1969,Diesel,Wrocław,Dolnośląskie,142500
volvo,v90,,2021,21376,1969,Hybrid,Poznań,Wielkopolskie,284900
alfa-romeo,mito,,2010,145000,1368,Gasoline,Szczecin,Zachodniopomorskie,22900
mercedes-benz,cls-klasa,gen-c218-2011,2014,140000,2143,Diesel,Kuźniki,Wielkopolskie,91000
ford,kuga,gen-i-2008-2012,2010,199000,1997,Diesel,Zduńska Wola,Łódzkie,36900
audi,a8,gen-d5-2017,2022,10,2967,Diesel,Gdańsk,Pomorskie,754380
chevrolet,camaro,,2011,98000,6199,Gasoline,Swarzędz,Wielkopolskie,69900
mazda,cx-5,,2013,148000,1998,Gasoline,Biała Podlaska,Lubelskie,62000
ford,s-max,gen-i-2006-2015,2009,251000,1997,Diesel,Poznań,Wielkopolskie,24900
bmw,seria-3,gen-e46-1998-2007,2000,239904,2979,Gasoline,Tomaszów Mazowiecki,Łódzkie,18500
fiat,freemont,,2012,214000,1956,Diesel,Leszno,Wielkopolskie,42000
bmw,m3,,2004,247600,3246,Gasoline,Mińsk Mazowiecki,Mazowieckie,79900
skoda,citigo,,2016,84000,1000,Gasoline,Bydgoszcz,Kujawsko-pomorskie,22500
volvo,xc-90,gen-ii-2014-xc-90,2017,99800,1969,Diesel,Sopot,Pomorskie,219900
audi,a5,gen-8t-2007-2016,2010,63000,1984,Gasoline,Koszalin,Zachodniopomorskie,47500
toyota,corolla,gen-seria-e12-2001-2007,2002,224000,1795,Gasoline,Piła,Wielkopolskie,25900
ford,mondeo,gen-mk5-2014,2019,12777,1999,Hybrid,Kraków,Małopolskie,99900
toyota,prius,gen-iii-2009-2015,2010,266000,1798,Hybrid,Pruszków,Mazowieckie,31500
opel,astra,gen-j-2009-2015,2012,92279,1364,Gasoline,Świdwin,Zachodniopomorskie,29500
nissan,qashqai,gen-i-2007-2013,2010,38000,1997,Gasoline,Szczecin,Zachodniopomorskie,38900
bmw,seria-3,gen-g20-2019,2021,5000,1995,Diesel,Długołęka,Dolnośląskie,187000
skoda,enyaq,,2021,5,0,Electric,Gdynia,Pomorskie,274900
renault,kangoo,gen-iv-2013-kangoo,2017,143030,1461,Diesel,Stalowa Wola,Podkarpackie,49990
bmw,i3,,2017,50000,647,Hybrid,Częstochowa,Śląskie,82000
skoda,yeti,,2015,159000,1968,Diesel,Gniezno,Wielkopolskie,54700
ford,edge,,2016,105000,1999,Gasoline,Bochnia,Małopolskie,77900
bmw,seria-5,gen-g30-2017,2021,5217,1995,Diesel,Janki,Mazowieckie,269000
bmw,seria-7,gen-e65-66-2001-2008,2008,310000,2979,LPG,Brodnica,Kujawsko-pomorskie,29800
volkswagen,golf,gen-vii-2012,2015,115000,1984,Gasoline,Radom,Mazowieckie,97700
mercedes-benz,e-klasa,gen-w212-2009,2011,180000,2143,Diesel,Marki,Mazowieckie,48000
fiat,tipo,gen-ii-2016,2021,2,1368,LPG,Sosnowiec,Śląskie,61900
toyota,yaris,gen-iii-2011,2020,34451,1500,Gasoline,Warszawa,Mazowieckie,58900
mini,countryman,,2013,109859,1995,Diesel,Janki,Mazowieckie,59900
audi,a8,gen-d3-2002-2010,2005,379468,4134,Diesel,Katowice,Śląskie,31000
ford,kuga,gen-ford-kuga-iii,2021,5,1499,Gasoline,Łódź,Łódzkie,139000
opel,vectra,gen-c-2002-2008,2007,227197,1910,Diesel,Piaseczno,Mazowieckie,11000
mazda,2,gen-ii-2007-2014,2008,100000,1349,Gasoline,Zamość,Lubelskie,17900
toyota,yaris,gen-iii-2011,2019,80198,1496,LPG,Wrocław,Dolnośląskie,47500
kia,sportage,gen-ii-2004-2010,2005,219109,1975,Gasoline,Kętrzyn,Warmińsko-mazurskie,17400
mercedes-benz,e-klasa,gen-w210-1995-2002,2000,215241,2151,Diesel,Grodzisk Wielkopolski,Wielkopolskie,11600
volkswagen,tiguan,gen-ii-2016-tiguan,2017,93000,1968,Diesel,Myszków,Śląskie,123500
hyundai,ix35,,2012,95000,1685,Diesel,Goleszów,Śląskie,35900
hyundai,i30,gen-iii-2017,2012,189000,1591,Gasoline,Zduńska Wola,Łódzkie,32900
renault,espace,gen-iv-2003-2014,2006,336000,1998,Gasoline,Chełm,Lubelskie,15500
volkswagen,tiguan,gen-ii-2016-tiguan,2018,148722,1968,Diesel,Słupsk,Pomorskie,89900
audi,a5,gen-f5-2016,2021,5000,1984,Gasoline,Gdańsk,Pomorskie,294040
toyota,aygo,gen-ii-2014-aygo,2015,56000,998,Gasoline,Piła,Wielkopolskie,19900
bmw,seria-4,,2016,79500,1995,Diesel,Gorzów Wielkopolski,Lubuskie,136900
seat,leon,gen-ii-2005-2012,2012,150000,1197,Gasoline,Szamotuły,Wielkopolskie,23000
mercedes-benz,c-klasa,gen-w203-2000-2007,2001,235000,3199,Gasoline,Skawina,Małopolskie,18700
ford,kuga,gen-i-2008-2012,2010,208000,1995,Diesel,Rzeszów,Podkarpackie,38900
citroen,c5,gen-iii-2008,2012,195000,1997,Diesel,Jelcz-Laskowice,Dolnośląskie,27900
volkswagen,golf,gen-vii-2012,2019,14000,1984,Gasoline,Dąbrowa Górnicza,Śląskie,142900
honda,civic,gen-ix-2011,2016,111548,1798,Gasoline,Radziszewo,Zachodniopomorskie,59900
chevrolet,cruze,,2010,258000,1991,Diesel,Czuryły,Mazowieckie,19300
mercedes-benz,e-klasa,gen-w212-2009,2013,325000,2143,Diesel,Gniezno,Wielkopolskie,69900
opel,corsa,gen-d-2006-2014,2012,167000,1248,Diesel,Mogilno,Kujawsko-pomorskie,17900
mercedes-benz,c-klasa,gen-w206-2021,2021,1,1993,Diesel,Kraków,Małopolskie,258118
toyota,auris,gen-i-2006-2012-auris,2008,117600,1598,Gasoline,Słupsk,Pomorskie,28900
skoda,fabia,gen-i-1999-2008,2007,236366,1390,Gasoline,Jaworzno,Śląskie,8500
opel,astra,gen-h-2004-2013,2009,217500,1598,Gasoline,Rembelszczyzna,Mazowieckie,13900
volkswagen,polo,gen-v-2009,2010,183000,1598,Diesel,Buczkowice,Śląskie,15800
volkswagen,sharan,gen-ii-2010-sharan,2010,282000,1968,Diesel,Wrocław,Dolnośląskie,42000
volkswagen,arteon,,2018,122254,1968,Diesel,Złotów,Wielkopolskie,137600
bmw,seria-7,gen-g11-12-2015,2019,59000,2993,Diesel,Piotrków Trybunalski,Łódzkie,480000
volkswagen,jetta,gen-a6-2010,2013,152272,1395,Hybrid,Mikołów,Śląskie,49900
audi,s3,gen-8v-2012-s3,2021,10,1984,Gasoline,Toruń,Kujawsko-pomorskie,235256
renault,laguna,gen-iii-2007,2008,221000,1998,Gasoline,Płock,Mazowieckie,27900
mini,cooper,,2002,178252,1598,Gasoline,Czaple,Dolnośląskie,9500
audi,a4,gen-b8-2007-2015,2010,271100,1968,Diesel,Gdańsk,Pomorskie,34900
peugeot,308,,2021,2,1199,Gasoline,Białystok,Podlaskie,103300
mini,countryman,,2013,97400,1598,Gasoline,Warszawa,Mazowieckie,67900
skoda,octavia,gen-iii-2013,2018,74315,999,Gasoline,Olsztyn,Warmińsko-mazurskie,67900
opel,astra,gen-j-2009-2015,2018,195000,1364,LPG,Lgota Górna,Śląskie,38500
opel,zafira,gen-c-2011,2011,157600,1598,Gasoline,Nowe Zadybie,Lubelskie,22900
volkswagen,golf,gen-vi-2008-2013,2009,143000,1390,Gasoline,Wałbrzych,Dolnośląskie,22500
audi,a4,gen-b9-2015,2020,6100,1968,Diesel,Toruń,Kujawsko-pomorskie,189900
audi,a4,gen-b9-2015,2016,80000,1984,Gasoline,Białystok,Podlaskie,83900
hyundai,ix35,,2014,148749,1995,Diesel,Przemyśl,Podkarpackie,59000
renault,twingo,gen-ii-2007-2014-twingo,2012,68000,1198,Gasoline,Nowa Wieś,Kujawsko-pomorskie,16500
bmw,x1,gen-e84-2009-2015,2011,165300,1995,Diesel,Wygoda,Mazowieckie,50000
toyota,yaris,gen-ii-2005-2011,2008,173355,1298,Gasoline,Rzeszów,Podkarpackie,18900
fiat,freemont,,2012,210423,1956,Diesel,Dąbrowa Tarnowska,Małopolskie,37900
kia,ceed,gen-i-2006-2012,2008,133000,1396,Gasoline,Bytom,Śląskie,15400
renault,clio,gen-iv-2012-clio,2014,81732,1461,Diesel,Rędziny,Śląskie,31900
volkswagen,golf,gen-vii-2012,2014,120393,1390,Gasoline,Piaseczno,Mazowieckie,53500
skoda,fabia,gen-iii-2014,2020,12000,999,LPG,Gostyń,Wielkopolskie,52000
volvo,xc-60,gen-ii-2017,2018,87154,1969,Diesel,Łódź,Łódzkie,188500
ford,mondeo,gen-mk4-2007-2014,2010,209384,1997,Diesel,Celiny,Świętokrzyskie,18700
toyota,aygo,gen-i-2005-2014,2008,136000,998,Gasoline,Raków,Świętokrzyskie,13500
bmw,seria-5,gen-f10-2009,2011,283000,2993,Diesel,Dobrzyniewo Duże,Podlaskie,62000
opel,insignia,gen-b-2017,2018,62694,1490,Gasoline,Ożarów Mazowiecki,Mazowieckie,91800
opel,crossland-x,,2021,1,1199,Gasoline,Warszawa,Mazowieckie,82800
nissan,qashqai,gen-ii-2013,2021,4,1332,Gasoline,Zielona Góra,Lubuskie,184900
fiat,doblo,gen-ii-2009,2014,170147,1598,Diesel,Kościerzyna,Pomorskie,38800
volkswagen,tiguan,gen-ii-2016-tiguan,2019,53600,1498,Gasoline,Szczecin,Zachodniopomorskie,134900
ford,mondeo,gen-mk4-2007-2014,2010,171000,1997,Diesel,Piła,Wielkopolskie,34777
seat,altea,,2005,218000,2000,Diesel,Mielec,Podkarpackie,12400
audi,a6,gen-c8-2018,2021,5,1968,Diesel,Gliwice,Śląskie,369620
skoda,octavia,gen-ii-2004-2013,2006,142791,1984,Gasoline,Gostyń,Wielkopolskie,15999
renault,clio,gen-iv-2012-clio,2016,108000,1197,Gasoline,Kraków,Małopolskie,43800
renault,laguna,gen-iii-2007,2011,284000,1995,Diesel,Ostrów Wielkopolski,Wielkopolskie,24900
ford,focus,gen-mk3-2010,2017,92306,1499,Diesel,Warszawa,Mazowieckie,46200
skoda,rapid,,2015,124000,1197,Gasoline,Międzyrzecz,Lubuskie,32700
fiat,500x,,2015,61000,1598,Gasoline,Zabrze,Śląskie,55900
mazda,cx-5,,2020,24000,1998,Gasoline,Długołęka,Dolnośląskie,129800
mercedes-benz,c-klasa,gen-w204-2007-2014,2007,198965,1796,Gasoline,Ostrzeszów,Wielkopolskie,29500
opel,antara,,2010,133537,1991,Diesel,Gdynia,Pomorskie,36900
chevrolet,cruze,,2014,222000,1686,Diesel,Płock,Mazowieckie,22700
volvo,xc-90,gen-ii-2014-xc-90,2018,53500,1969,Gasoline,Ostrołęka,Mazowieckie,159500
mazda,cx-3,,2018,50687,1991,Gasoline,Warszawa,Mazowieckie,81500
nissan,x-trail,gen-iii-2014-x-trail,2015,201604,1618,Gasoline,Marki,Mazowieckie,61900
audi,a4,gen-b8-2007-2015,2009,182000,1781,Gasoline,Bydgoszcz,Kujawsko-pomorskie,22900
audi,a8,gen-d4-2010,2012,59900,1984,Hybrid,Michałów-Reginów,Mazowieckie,149900
audi,a8,gen-d4-2010,2013,270000,2995,Gasoline,Zambrów,Podlaskie,77900
renault,clio,gen-ii-1998-2012,2002,155582,1390,Gasoline,Zielona Góra,Lubuskie,7900
opel,astra,gen-h-2004-2013,2008,221903,1598,Gasoline,Wilchta,Mazowieckie,18200
bmw,seria-5,gen-e60-2003-2010,2006,200000,2993,Diesel,Zawiercie,Śląskie,32900
mazda,3,gen-iii-2013-3,2016,85000,1498,Diesel,Koło,Wielkopolskie,53900
mercedes-benz,e-klasa,gen-w213-2016,2018,152000,1950,Diesel,Ostrzeszów,Wielkopolskie,145000
mazda,6,gen-iii-2012-6,2014,130500,2191,Diesel,Jarużyn,Kujawsko-pomorskie,59000
mitsubishi,colt,gen-z30-2004-2012,2006,150000,1499,Gasoline,Wrocław,Dolnośląskie,15000
ford,mondeo,gen-mk5-2014,2018,93915,1997,Diesel,Lesznowola,Mazowieckie,79900
bmw,seria-2,,2014,178361,1995,Diesel,Lublin,Lubelskie,47000
opel,astra,gen-g-1998-2009,2000,145000,1796,Gasoline,Margonin,Wielkopolskie,6450
skoda,octavia,gen-ii-2004-2013,2011,240123,1390,Gasoline,Wyszków,Mazowieckie,21800
opel,corsa,gen-e-2014,2015,199876,1248,Diesel,Borowo,Pomorskie,23900
honda,jazz,gen-ii-2002-2008-jazz,2002,180000,1339,Gasoline,Limanowa,Małopolskie,10900
mercedes-benz,a-klasa,gen-w168-1997-2004,2003,236000,1689,Diesel,Zamość,Lubelskie,5400
volkswagen,passat,gen-b8-2014,2017,87917,1968,Diesel,Koszalin,Zachodniopomorskie,75900
hyundai,i30,gen-iii-2017,2018,34700,1368,Gasoline,Bytom,Śląskie,59900
ford,tourneo-custom,,2022,1,2000,Diesel,Szczecinek,Zachodniopomorskie,199000
bmw,seria-3,gen-f30-2012,2013,210000,2979,Gasoline,Aleksandrów Łódzki,Łódzkie,65000
opel,insignia,gen-a-2008-2017,2016,89780,1796,Gasoline,Warszawa,Mazowieckie,60900
skoda,superb,gen-ii-2008,2014,85529,1798,Gasoline,Piaseczno,Mazowieckie,54300
opel,vectra,gen-c-2002-2008,2002,184000,1800,Gasoline,Łask,Łódzkie,7450
opel,astra,gen-j-2009-2015,2011,222909,1686,Diesel,Warszawa,Mazowieckie,24500
opel,insignia,gen-a-2008-2017,2010,172000,1598,Gasoline,Chechło,Małopolskie,29900
opel,zafira,gen-b-2005-2011,2005,229000,1796,Gasoline,Szamotuły,Wielkopolskie,13500
ford,mondeo,gen-mk4-2007-2014,2013,267000,1997,Diesel,Chełm,Lubelskie,24900
audi,a4,gen-b9-2015,2021,11350,1968,Diesel,Bydgoszcz,Kujawsko-pomorskie,259900
opel,corsa,gen-e-2014,2017,82286,1398,Gasoline,Warszawa,Mazowieckie,39900
ford,s-max,gen-i-2006-2015,2007,382485,2521,LPG,Bydgoszcz,Kujawsko-pomorskie,16300
opel,zafira,gen-b-2005-2011,2008,221330,1796,Gasoline,Gorlice,Małopolskie,11500
bmw,seria-3,gen-e46-1998-2007,1999,321800,1895,Gasoline,Mogilno,Kujawsko-pomorskie,4990
bmw,seria-3,gen-e46-1998-2007,2003,401000,2993,Diesel,Węgorzewo,Warmińsko-mazurskie,21999
ford,fusion,,2003,259000,1388,Gasoline,Jasło,Podkarpackie,5200
audi,q3,,2013,192933,1968,Diesel,Nowy Sącz,Małopolskie,63900
opel,vectra,gen-c-2002-2008,2003,236000,1796,Gasoline,Poręba,Śląskie,9700
volkswagen,tiguan,gen-ii-2016-tiguan,2021,5,1498,Gasoline,Katowice,Śląskie,145790
mazda,3,gen-iii-2013-3,2017,53600,1998,Gasoline,Turawa-Marszałki,Opolskie,75459
peugeot,3008,gen-i-2009-2016,2014,158007,1560,Diesel,Długołęka,Dolnośląskie,49900
audi,s5,,2009,235532,4163,Gasoline,Radom,Mazowieckie,69900
toyota,verso,,2011,265000,1998,Diesel,Żuromin,Mazowieckie,23500
volvo,xc-90,gen-ii-2014-xc-90,2019,50000,1969,Diesel,Lublin,Lubelskie,260000
ford,c-max,gen-i-2003-2010-c-max,2005,263000,2000,Diesel,Swarzędz,Wielkopolskie,7999
renault,laguna,gen-iii-2007,2008,100000,2000,Gasoline,Częstochowa,Śląskie,16900
mercedes-benz,g-klasa,gen-w463-1992,2015,171187,2987,Diesel,Warszawa,Mazowieckie,340000
toyota,avensis,gen-iii-2009,2017,263073,1987,Gasoline,Poznań,Wielkopolskie,59900
ford,focus,gen-mk3-2010,2017,135957,1498,Diesel,Lubin,Dolnośląskie,52900
renault,grand-scenic,gen-ii-2003-2009-grand-scenic,2007,265550,1995,Diesel,Nisko,Podkarpackie,14950
volkswagen,arteon,,2017,150000,1984,LPG,Obrowiec,Opolskie,125000
volkswagen,passat,gen-b8-2014,2018,62000,1968,Diesel,Rzeszów,Podkarpackie,109900
peugeot,508,,2011,189925,1997,Diesel,Ostrów Mazowiecka,Mazowieckie,35900
audi,q5,gen-8r-2008-2016,2012,225000,1968,Diesel,Pinczyn,Pomorskie,56500
seat,ibiza,gen-iii-2002-2008,2006,183749,1390,Gasoline,Buk,Małopolskie,9900
bmw,seria-3,gen-f30-2012,2012,177000,1995,Diesel,Brzesko,Małopolskie,49900
seat,ibiza,gen-iv-2008,2011,180000,1198,Gasoline,Sobolew,Mazowieckie,14900
toyota,yaris,gen-iii-2011,2017,170000,998,Gasoline,Warszawa,Mazowieckie,35000
opel,vectra,gen-c-2002-2008,2006,240000,1910,Diesel,Mielec,Podkarpackie,8900
peugeot,3008,gen-ii-2016-3008,2019,151800,1199,Gasoline,Wojkowice,Dolnośląskie,78900
opel,zafira,gen-b-2005-2011,2008,131000,1598,Gasoline,Świątniki Górne,Małopolskie,21500
skoda,superb,gen-iii-2015,2016,165260,1984,Gasoline,Płock,Mazowieckie,110577
renault,grand-scenic,gen-iii-2009-2013-grand-scenic,2009,119770,1997,Gasoline,Świebodzin,Lubuskie,25500
ford,focus,gen-mk3-2010,2013,75650,998,Gasoline,Żory,Śląskie,33400
audi,a8,gen-d4-2010,2014,120000,4134,Diesel,Złotów,Wielkopolskie,187000
volkswagen,golf,gen-vii-2012,2015,78000,1395,Gasoline,Warszawa,Mazowieckie,54900
mercedes-benz,v-klasa,,2022,1,1950,Diesel,Wrocław,Dolnośląskie,332961
audi,q3,,2021,5,1498,Gasoline,Gdańsk,Pomorskie,172753
opel,astra,gen-h-2004-2013,2011,204000,1686,Diesel,Goczałkowice-Zdrój,Śląskie,14000
hyundai,ix20,,2016,59730,1591,Gasoline,Warszawa,Mazowieckie,52900
mercedes-benz,c-klasa,gen-w204-2007-2014,2008,290000,2148,Diesel,Klimontów,Świętokrzyskie,26500
hyundai,ix20,,2013,170000,1396,Gasoline,Witobel,Wielkopolskie,28900
peugeot,407,,2005,249000,1997,Diesel,Mikołów,Śląskie,10700
renault,laguna,gen-iii-2007,2007,154394,1997,Gasoline,Kraków,Małopolskie,23000
ford,kuga,gen-ii-2012-kuga,2014,146500,1997,Diesel,Busko-Zdrój,Świętokrzyskie,59900
nissan,qashqai,gen-ii-2013,2021,1,1332,Gasoline,Zbylitowska Góra,Małopolskie,123000
opel,signum,,2006,90000,1998,Gasoline,Świercze,Mazowieckie,25900
toyota,avensis,gen-iii-2009,2009,198000,1998,Diesel,Łódź,Łódzkie,24500
mercedes-benz,b-klasa,gen-w246-2011,2013,90000,1796,Diesel,Brzeg,Opolskie,49000
volvo,v50,,2008,187343,1560,Diesel,Zwoleń,Mazowieckie,17300
toyota,aygo,gen-ii-2014-aygo,2019,49654,998,Gasoline,Rybnik,Śląskie,39899
hyundai,tucson,gen-ii-2015,2017,125209,1995,Diesel,Wejherowo,Pomorskie,82900
citroen,xsara-picasso,,2007,214000,1560,Diesel,Gaj Mały,Wielkopolskie,6500
toyota,c-hr,,2017,80669,1798,Hybrid,Warszawa,Mazowieckie,88200
mini,cooper-s,,2021,5,1998,Gasoline,Łódź,Łódzkie,152400
audi,q5,gen-8r-2008-2016,2013,101000,2995,Gasoline,Konstantynów Łódzki,Łódzkie,93900
mercedes-benz,c-klasa,gen-w204-2007-2014,2011,136539,1595,Gasoline,Bielany Wrocławskie,Dolnośląskie,54000
renault,talisman,,2021,1,1997,Diesel,Warszawa,Mazowieckie,171900
mercedes-benz,cls-klasa,gen-c257-2018,2022,2,1991,Gasoline,Wrocław,Dolnośląskie,367039
ford,focus,gen-mk2-2004-2011,2006,293000,1796,LPG,Łęczna,Lubelskie,11700
nissan,juke,gen-i-2010-2019,2013,83000,1598,Gasoline,Zamość,Lubelskie,37900
volkswagen,jetta,gen-a6-2010,2017,120435,1984,Gasoline,Warszawa,Mazowieckie,61900
peugeot,2008,,2021,2,1199,Gasoline,Sosnowiec,Śląskie,89800
mercedes-benz,v-klasa,,2015,177000,2143,Diesel,Jaromirowice,Lubuskie,179900
peugeot,206,,2003,159000,1360,Gasoline,Kraków,Małopolskie,4450
mercedes-benz,c-klasa,gen-w204-2007-2014,2009,215960,2987,Diesel,Ostrowiec Świętokrzyski,Świętokrzyskie,34900
audi,a4-allroad,,2021,14500,1968,Diesel,Kalisz,Wielkopolskie,252900
bmw,x6,gen-g06-2019,2021,7,2993,Diesel,Warszawa,Mazowieckie,393900
mazda,3,gen-iv-2019-3,2021,1,1998,Gasoline,Opole,Opolskie,116700
bmw,seria-3,gen-f30-2012,2019,36000,2998,Gasoline,Gdańsk,Pomorskie,179900
audi,a4,gen-b9-2015,2021,27699,1968,Diesel,Gdynia,Pomorskie,179900
volkswagen,tiguan,gen-ii-2016-tiguan,2017,61000,1395,Gasoline,Mysłowice,Śląskie,112800
opel,corsa,gen-e-2014,2019,65579,1398,LPG,Piaseczno,Mazowieckie,44000
citroen,ds3,,2014,125650,1560,Diesel,Krotoszyn,Wielkopolskie,21900
mercedes-benz,b-klasa,gen-w245-2005-2011,2005,212600,1997,Diesel,Jarosław,Podkarpackie,17990
skoda,octavia,gen-ii-2004-2013,2012,229000,1595,LPG,Poręba,Śląskie,24444
skoda,fabia,gen-iii-2014,2018,49500,999,LPG,Sierpc,Mazowieckie,52900
citroen,c5,gen-iii-2008,2011,251000,1560,Diesel,Łowicz,Łódzkie,18900
volkswagen,touareg,gen-ii-2010-touareg,2013,205000,2967,Diesel,Skarszewy,Pomorskie,87900
skoda,octavia,gen-iii-2013,2017,184564,1968,Diesel,Rybnik,Śląskie,56899
ford,c-max,gen-i-2003-2010-c-max,2007,189000,2000,Gasoline,Kutno,Łódzkie,17900
opel,corsa,gen-e-2014,2015,132449,999,Gasoline,Bulowice,Małopolskie,33900
ford,fiesta,gen-mk7-2008,2014,110000,1242,Gasoline,Warszawa,Mazowieckie,26900
kia,ceed,gen-ii-2012-ceed,2012,75000,1396,LPG,Kraków,Małopolskie,34500
audi,a5,gen-f5-2016,2016,89000,1984,Gasoline,Kamieńsk,Łódzkie,159000
opel,omega,gen-b-1994-1999,1994,162800,1998,LPG,Warszawa,Mazowieckie,3999
ford,edge,,2017,73000,2000,Diesel,Nowy Sącz,Małopolskie,140000
skoda,superb,gen-ii-2008,2010,238650,1968,Diesel,Płock,Mazowieckie,31800
skoda,karoq,,2018,206000,1968,Diesel,Elbląg,Warmińsko-mazurskie,79900
skoda,fabia,gen-ii-2007,2012,186000,1390,Gasoline,Poznań,Wielkopolskie,24900
mitsubishi,outlander,gen-i-2001-2006,2003,245000,1997,LPG,Poznań,Wielkopolskie,13500
bmw,seria-4,,2021,6000,1998,Gasoline,Libertów,Małopolskie,285900
volkswagen,passat,gen-b8-2014,2017,118000,1395,Gasoline,Mysłowice,Śląskie,76500
fiat,grande-punto,,2008,161000,1368,Gasoline,Starcza,Śląskie,13900
ford,ranger,,2021,7,1995,Diesel,Rzeszów,Podkarpackie,256000
bmw,x3,gen-e83-2003-2010,2008,244000,1995,Diesel,Legnica,Dolnośląskie,32900
opel,meriva,gen-ii-2010,2014,147000,1364,Gasoline,Gniezno,Wielkopolskie,33300
mercedes-benz,gla-klasa,,2018,36000,1595,Gasoline,Stryszów,Małopolskie,97100
hyundai,i30,gen-ii-2012-i30,2013,121109,1396,Gasoline,Środa Śląska,Dolnośląskie,37900
opel,astra,gen-j-2009-2015,2017,48000,1598,Gasoline,Bystrzyca,Dolnośląskie,44900
volvo,xc-40,,2021,5,0,Electric,Gdynia,Pomorskie,272900
toyota,c-hr,,2019,102000,1798,Hybrid,Strzyżew,Mazowieckie,94900
ford,fiesta,gen-mk7-2008,2010,145000,1242,Gasoline,Mysłowice,Śląskie,20990
volvo,c30,,2009,247000,1560,Diesel,Zakopane,Małopolskie,15900
opel,meriva,gen-ii-2010,2010,141000,1398,Gasoline,Płońsk,Mazowieckie,21900
citroen,c4-grand-picasso,,2016,102600,1997,Diesel,Warszawa,Mazowieckie,49900
toyota,auris,gen-i-2006-2012-auris,2010,226000,1598,LPG,Będzin,Śląskie,27900
skoda,superb,gen-iii-2015,2018,118861,1395,Gasoline,Łódź,Łódzkie,89900
opel,mokka,,2014,63878,1686,Diesel,Janki,Mazowieckie,54900
peugeot,508,,2019,68000,1598,Gasoline,Mysłowice,Śląskie,136900
nissan,micra,gen-k13-2010,2017,92486,1198,Gasoline,Rzeszów,Podkarpackie,36900
peugeot,308,,2021,3,1199,Gasoline,Mikołajowice,Małopolskie,104900
volkswagen,t-cross,,2021,5,999,Gasoline,Piaseczno,Mazowieckie,111250
toyota,auris,gen-i-2006-2012-auris,2009,125000,1329,Gasoline,Jadów,Mazowieckie,23500
bmw,seria-3,gen-f30-2012,2016,162000,1995,Diesel,Lidzbark,Warmińsko-mazurskie,81500
peugeot,508,,2013,128000,1560,Diesel,Żyrardów,Mazowieckie,32500
volkswagen,passat,gen-b8-2014,2016,232962,1968,Diesel,Grudziądz,Kujawsko-pomorskie,63900
bmw,seria-5,gen-f10-2009,2012,255000,2979,Gasoline,Czerwona Woda,Dolnośląskie,58899
bmw,seria-3,gen-e46-1998-2007,1998,320000,2793,LPG,Kraków,Małopolskie,15500
skoda,fabia,gen-iii-2014,2021,9,999,Gasoline,Bydgoszcz,Kujawsko-pomorskie,67700
audi,a4,gen-b8-2007-2015,2011,177000,1968,Diesel,Namysłów,Opolskie,33500
toyota,avensis,gen-iii-2009,2010,110000,1798,Gasoline,Warszawa,Mazowieckie,38500
mitsubishi,asx,,2017,46539,1590,Gasoline,Warszawa,Mazowieckie,75500
opel,signum,,2007,225215,1910,Diesel,Polska Nowa Wieś,Opolskie,15900
bmw,seria-3,gen-e46-1998-2007,2001,288000,1895,LPG,Syców,Dolnośląskie,4900
volvo,v60,gen-i-2011-2018,2016,84000,1969,Diesel,Warszawa,Mazowieckie,69900
volkswagen,multivan,,2022,5,1395,Gasoline,Tychy,Śląskie,235000
skoda,octavia,gen-iii-2013,2016,80235,1598,Diesel,Warszawa,Mazowieckie,54799
volvo,v50,,2007,260000,1560,Diesel,Truszczanek,Łódzkie,9840
renault,captur,,2017,51942,1197,Gasoline,Łańcut,Podkarpackie,57900
hyundai,tucson,gen-ii-2015,2018,100700,1598,Diesel,Rawicz,Wielkopolskie,89900
hyundai,ix35,,2013,140000,1685,Diesel,Kielce,Świętokrzyskie,44900
seat,altea,,2006,224000,1595,Gasoline,Lublin,Lubelskie,14400
ford,focus,gen-mk2-2004-2011,2008,218000,1753,Diesel,Płock,Mazowieckie,12700
opel,vivaro,,2008,264282,1995,Diesel,Kaliska,Pomorskie,24800
skoda,superb,gen-ii-2008,2010,218000,3597,Gasoline,Wejherowo,Pomorskie,34000
ford,puma,,2019,20515,999,Gasoline,Lubin,Dolnośląskie,97900
ford,mondeo,gen-mk4-2007-2014,2008,244123,1753,Diesel,Miechów,Małopolskie,19900
audi,a8,gen-d4-2010,2010,268000,4163,Gasoline,Pszczyna,Śląskie,72000
opel,astra,gen-k-2015,2018,34560,1598,Gasoline,Siemiatycze,Podlaskie,57400
kia,sorento,gen-i-2002-2009-sorento,2005,227000,2497,Diesel,Bełchatów,Łódzkie,16700
opel,astra,gen-k-2015,2019,59000,1399,Gasoline,Ząbki,Mazowieckie,75900
mercedes-benz,cls-klasa,gen-c219-2004-2010,2008,172000,2987,Diesel,Pułtusk,Mazowieckie,51900
